number_of_bikes_avail,average_distance_fs,average_price_fs,average_popularity_fs,average_rating_fs,average_distance_yelp,average_price_yelp,average_popularity_yelp,average_rating_yelp
10,490.3,1.8888888888888888,0.9701506490540724,8.709999999999999,540.3183814063292,2.45,388.95,4.125
5,390.6,2.0,0.9439194445039144,8.309999999999999,465.1908247659373,1.9375,37.0,4.075
20,454.5,1.6,0.964515760702791,8.75,726.8828723970597,2.2777777777777777,461.15,4.275
4,655.9,2.111111111111111,0.9430359602360716,7.4,681.0717692752152,2.1818181818181817,7.9,3.775
21,753.3,1.25,0.9564630656475912,6.888888888888889,771.595287288281,1.3846153846153846,8.55,3.425
14,519.9,1.5714285714285714,0.9389953399416244,6.883333333333333,769.8111949757241,1.8666666666666667,22.7,4.2
23,965.0,1.0,0.9616562118649512,,955.2425440010926,,4.0,3.0
4,404.5,1.4285714285714286,0.924680468432208,6.814285714285715,559.7853086437151,1.5555555555555556,8.75,3.5
5,486.0,1.5555555555555556,0.901698459254819,7.13,666.0739267463293,2.0,16.45,3.85
12,495.3,1.5555555555555556,0.8869889457420769,6.922222222222222,621.5609224212106,2.0,6.45,3.6
11,518.6,1.6,0.9658359916361586,8.72,752.1026960595709,2.333333333333333,462.2,4.275
19,281.8,1.5,0.9588544677328424,8.67,277.3333949091449,2.35,88.35,4.125
8,477.2,1.4444444444444444,0.957604173357026,8.68,580.155459606547,2.2,77.4,4.225
28,417.4,2.0,0.9669792402606208,8.809999999999999,559.2918495417923,2.2222222222222223,177.4,4.325
8,400.7,2.0,0.9735261584134391,8.53,509.2554835350903,2.263157894736842,208.8,4.175
12,636.8,1.3333333333333333,0.9457927451526116,7.477777777777778,563.6309393334901,1.5454545454545454,10.2,4.15
13,735.5,1.3,0.9644215604415992,7.37,869.5785391450738,1.9090909090909087,12.75,4.275
19,393.7,1.375,0.940398352922706,6.76,815.0043769401631,1.6,10.3,4.3
7,454.4,1.5714285714285714,0.93668457898906,6.757142857142857,658.4408773607673,1.9333333333333331,28.1,4.175
2,654.5,2.111111111111111,0.945708535828213,8.26,595.1405119275153,1.9411764705882355,39.7,4.15
5,464.3,1.8888888888888888,0.9698073890113968,8.77,507.08732841699793,2.3157894736842106,301.55,4.125
10,507.5,1.5,0.9597779157478572,8.690000000000001,648.7931738878353,2.35,128.35,4.35
0,661.5,1.25,0.9578774968421504,7.075,970.673930900242,1.6363636363636365,25.05263157894737,3.763157894736842
8,693.2,1.7,0.9607584548302612,8.33,706.6091604546523,2.2222222222222223,48.7,4.3
5,601.8,1.5555555555555556,0.9780463436739528,8.83,686.8746104771365,2.6842105263157894,299.55,4.2
23,726.5,1.5555555555555556,0.9712781976350028,8.290000000000001,719.8052138847185,2.263157894736842,123.2,4.175
11,674.7,1.7,0.9675901146816815,8.2,679.7365522116962,1.9444444444444444,120.7,4.175
8,475.3,1.8888888888888888,0.9809986654962998,8.75,500.4810375474584,2.6842105263157894,329.1,4.2
16,198.8,2.25,0.9814318439701128,8.65,209.7826972739976,2.3157894736842106,235.75,4.125
3,353.8,1.8888888888888888,0.9767896265530556,8.809999999999999,341.02286879723545,2.555555555555556,291.95,4.125
13,401.9,1.6666666666666667,0.9809522790040462,8.92,530.772620347616,2.235294117647059,234.5,4.15
11,442.0,1.375,0.9639748228392816,8.89,734.3376657127336,2.2222222222222223,448.2,4.275
17,519.9,1.5,0.9651594624876004,6.928571428571429,655.8381190704354,2.0,21.65,4.125
18,274.8,2.2,0.9715015664361616,8.77,565.5785549863699,2.111111111111111,449.8,4.275
10,367.1,1.5,0.9847902260092628,8.5,613.9559532377373,2.526315789473684,330.4,4.25
16,546.5,1.4444444444444444,0.9585183440735904,8.709999999999999,659.7644722888333,2.05,85.55,4.275
24,677.8,1.6666666666666667,0.9655541044909262,8.629999999999999,709.5659698434463,1.9444444444444444,90.35,4.25
4,624.7,1.4444444444444444,0.9702612629971384,8.48,532.3719340601126,2.2,120.75,4.2
14,605.9,1.375,0.9465206562618196,7.366666666666666,666.0405283434208,1.5714285714285714,11.45,4.2
12,495.4,2.2222222222222223,0.9695554746765436,8.620000000000001,730.1587260381222,2.533333333333333,88.75,4.15
6,420.4,2.6666666666666665,0.9620865357853948,8.82,653.2055185417455,2.25,242.05,4.125
7,358.7,2.333333333333333,0.965048134906192,8.870000000000001,384.33415877054045,2.210526315789474,172.85,4.1
22,744.6,2.0,0.9517616162481176,8.27,784.0567170968122,1.9411764705882355,37.3,4.1
12,333.0,1.6,0.964515760702791,8.75,496.35559231391846,2.3125,421.8,4.275
1,825.5,1.8888888888888888,0.9493352458840908,7.88,966.6885945389032,1.7857142857142858,22.2,4.0
10,278.9,2.111111111111111,0.9665796027888984,8.889999999999999,358.99420108230646,2.0,417.25,4.225
14,230.0,2.2222222222222223,0.9601618531760474,8.790000000000001,417.6670615618797,2.1578947368421053,179.45,4.125
10,564.7,2.1,0.9587260128312174,8.32,613.4228632949405,1.947368421052632,77.5,4.1
12,634.1,1.7,0.9338107573843728,7.81,574.1818353189162,1.6875,20.55,4.0
11,525.4,1.5555555555555556,0.959346164550729,8.540000000000001,529.2722987726495,2.0,47.6,4.275
16,215.5,1.8888888888888888,0.9563346107459662,8.69,311.870535966599,2.1052631578947367,424.1,4.225
9,742.0,2.0,0.863782140486844,7.211111111111112,802.0960219627707,2.0,9.15,3.975
6,637.6,1.3333333333333333,0.9491561226601584,7.055555555555555,797.6685843800713,2.125,17.95,4.025
12,384.4,1.625,0.9243921585418942,7.544444444444445,407.7900520256104,2.0,8.0,4.05
18,498.4,2.1,0.9601090439387128,8.73,486.7772715957444,2.4,387.05,4.175
11,289.6,2.333333333333333,0.965048134906192,8.870000000000001,329.11023054450897,2.235294117647059,167.15,4.15
11,386.3,1.5555555555555556,0.9817515539474904,8.92,579.7779222882057,2.2777777777777777,312.6,4.225
8,817.8,1.8888888888888888,0.9448992699479758,7.93,869.5672795483275,1.6363636363636365,24.35,3.725
8,623.8,1.6,0.973173621072313,8.709999999999999,829.2398109528882,2.631578947368421,293.35,4.2
16,443.7,1.25,0.964873293512314,8.940000000000001,756.0508488062125,2.263157894736842,237.6,4.25
9,672.6,1.0,0.931198841051332,7.114285714285714,799.9544583033214,1.5,8.3,4.1
10,746.9,1.4444444444444444,0.9557394363684372,8.05,876.7263869049609,2.0,55.45,4.375
12,295.7,2.0,0.9812655662363428,8.7,311.8314526395293,2.1052631578947367,264.65,4.075
17,418.5,1.7,0.9666110028759626,8.73,543.7575732781196,2.3157894736842106,131.3,4.3
6,390.5,1.3333333333333333,0.8460061230169774,6.985714285714286,886.1123138073053,1.7692307692307692,24.25,4.125
10,282.1,1.625,0.9845868390816902,8.559999999999999,391.34857058059055,2.3157894736842106,274.55,4.05
6,661.4,1.875,0.9456343174406074,8.260000000000002,698.1902845539292,1.8823529411764703,28.8,4.2
6,740.0,1.6666666666666667,0.9659673010911533,8.32,784.6110478660197,2.0526315789473686,126.0,4.2
5,509.5,1.6666666666666667,0.9713531296609504,8.84,591.6922740531548,2.823529411764706,300.35,4.275
7,418.1,1.6,0.9500645842699836,7.959999999999999,507.457244757641,1.9285714285714288,36.7,4.4
18,650.7,1.8,0.9590728410656048,8.53,711.8484802725454,2.0,58.6,4.325
12,384.5,2.125,0.963169125150756,8.620000000000001,501.4892805034289,2.789473684210526,210.15,4.075
14,775.9,1.7,0.9615634388804442,8.05,884.0561911301395,2.2222222222222223,209.25,4.2
10,689.8,1.7777777777777777,0.9626139145203992,8.559999999999999,619.4021054368368,1.9444444444444444,83.3,4.15
8,712.2,2.0,0.9412839781055756,8.24,497.1721426359962,1.9333333333333331,38.6,4.175
10,385.5,1.5,0.9558165093094122,8.55,515.8857055830861,1.8571428571428568,46.35,4.25
16,388.0,2.111111111111111,0.9409621272131709,8.28,254.9126321107266,1.8823529411764703,39.7,4.025
4,441.6,1.7777777777777777,0.9737894909617704,8.66,655.591591155797,2.3684210526315788,348.45,4.125
5,575.1,1.1428571428571428,0.8715872030372449,7.225,554.5541288780333,1.6666666666666667,9.55,4.25
23,661.5,1.3,0.967159790761238,8.55,711.5438976790949,2.1666666666666665,275.85,4.3
21,686.5,1.3333333333333333,0.955594567784938,8.77,933.28389430085,2.2777777777777777,174.8,4.325
17,722.2,1.3,0.9574707229870046,7.779999999999999,739.510167057499,1.9285714285714288,16.6,4.325
15,215.0,1.8888888888888888,0.955822218416151,8.690000000000001,352.26443796992874,2.3684210526315788,143.05,4.325
9,578.4,1.6,0.957856801330222,8.190000000000001,727.0613964233908,1.8125,26.35,4.325
17,530.8,1.375,0.9378649368073247,7.033333333333334,686.0127842933523,1.9411764705882355,26.6,4.125
13,401.9,2.111111111111111,0.9591627594967422,8.72,590.3891755426746,2.2,484.65,4.25
16,567.4,1.6,0.9845196076435346,8.34,953.414114171366,2.263157894736842,278.9,4.225
11,216.8,2.0,0.9788185003603872,8.66,262.7335103970055,2.210526315789474,306.75,4.125
3,451.6,1.8888888888888888,0.9823296010048028,8.6,494.1160669660829,2.5294117647058822,281.8,4.2
10,403.7,1.6666666666666667,0.984116111130562,8.42,366.2876852454809,2.1052631578947367,227.25,4.05
5,333.1,1.8,0.9774133464642788,8.66,445.6921781686085,2.631578947368421,313.6,4.15
16,564.0,1.0,0.7588837269048792,6.24,847.1432194044456,1.4,7.888888888888889,3.555555555555556
15,336.6,1.875,0.9840994240938578,8.65,370.1073551823962,2.4444444444444446,304.15,4.125
20,398.7,1.75,0.9821083731186708,8.86,429.0036814999986,2.210526315789474,273.4,4.1
10,332.3,1.625,0.9818985634460168,8.74,434.5683709710165,2.210526315789474,272.65,4.15
4,471.6,1.6666666666666667,0.9755029366217788,8.790000000000001,649.1927852924158,2.3157894736842106,345.6,4.125
8,689.7,1.75,0.9563003561055328,7.970000000000001,735.1586334843644,2.0,45.1,4.025
7,445.2,2.2222222222222223,0.9695554746765436,8.620000000000001,762.9218640139252,2.4705882352941178,155.65,4.2
25,464.8,2.1,0.9710212878317526,8.9,741.4331564353236,2.1052631578947367,462.3,4.325
4,371.2,1.6666666666666667,0.9809522790040462,8.91,590.1335164301913,2.2777777777777777,291.15,4.2
0,495.1,1.2222222222222223,0.955843627566422,8.33,585.1795311884193,2.0588235294117645,93.65,4.175
9,597.7,2.0,0.9669683855225656,8.690000000000001,613.0929060936555,2.1666666666666665,175.15,4.2
9,297.5,2.0,0.9812655662363428,8.7,316.1054633158394,2.1052631578947367,264.65,4.075
5,276.7,2.125,0.9819577954284328,8.64,329.64227277240434,2.1578947368421053,274.9,4.075
11,371.3,1.6666666666666667,0.9747471936172186,8.74,457.8032729449616,2.2222222222222223,232.2,4.125
14,338.2,2.125,0.981325511857101,8.67,399.6224769936702,2.421052631578948,281.0,4.175
12,334.2,1.75,0.9840173556844862,8.870000000000001,480.3142902211457,2.3157894736842106,242.65,4.15
10,206.4,2.111111111111111,0.9815003532509796,8.67,222.74410433858515,2.333333333333333,257.35,4.1
11,657.0,1.6666666666666667,0.976448507425407,8.72,832.801904472266,2.6666666666666665,281.05,4.175
6,363.6,1.6666666666666667,0.984064455815082,8.92,468.3596298213295,2.473684210526316,294.85,4.15
6,265.7,1.5714285714285714,0.9857065376408544,8.58,302.39673269706293,2.2222222222222223,252.8,4.0
5,531.2,1.5,0.9558165093094122,8.55,715.1828650955838,1.9333333333333331,46.4,4.2
20,576.0,1.6,0.9600398210195036,8.7,710.7535007401244,2.15,94.45,4.275
8,708.8,1.1,0.9411077094350124,7.233333333333332,891.5228523527669,1.6153846153846154,16.45,4.35
12,613.1,1.5,0.9615762843706068,8.36,811.3779822284102,2.411764705882353,66.55,4.3
3,702.2,1.25,0.8764335210202173,7.3428571428571425,775.5205183764411,1.9333333333333331,25.45,4.25
17,303.5,1.2,0.9661792516788342,8.72,480.6494592083351,2.111111111111111,463.65,4.225
8,627.3,1.9,0.9605422224125256,8.47,583.9560267732566,1.9411764705882355,57.9,4.375
11,544.1,1.3333333333333333,0.924395726733606,7.3875,857.8269153969286,2.0,84.15,4.15
9,421.9,1.4444444444444444,0.934679255247026,7.729999999999999,481.0842302757832,2.083333333333333,7.75,4.025
5,719.6,1.2222222222222223,0.8454815988353422,7.288888888888888,724.5797126361906,1.8,10.75,4.275
4,800.5,1.7,0.9434627159648036,7.555555555555555,857.7021834441126,1.6,14.833333333333334,3.7222222222222223
12,230.2,1.875,0.9725962876533428,8.790000000000001,228.7958367673598,2.7777777777777777,334.0,4.225
10,584.4,1.7,0.958240738758412,8.040000000000001,673.2104685055577,1.6875,43.8,3.95
12,749.7,1.6,0.9578125557529956,8.120000000000001,759.8880587398653,1.6666666666666667,29.15,4.3
1,251.0,1.6666666666666667,0.9796077843670384,8.64,230.7303994391388,2.5,273.0,4.025
7,397.6,2.0,0.9735261584134391,8.53,474.7640697992773,2.3157894736842106,209.3,4.2
3,374.5,2.0,0.9735975222476754,8.709999999999999,338.6337709688486,2.7222222222222223,298.95,4.2
6,532.6,1.875,0.9759653742676286,8.809999999999999,490.12141026212674,2.7058823529411766,260.35,4.25
1,331.4,2.0,0.9732164393728546,8.75,349.59906315742865,2.7777777777777777,321.2,4.225
17,623.7,1.125,0.7831695533337615,6.928571428571429,994.9918612514066,1.6,11.5,4.0
17,779.2,1.5,0.9476453502893804,8.16,800.0066471117251,1.6470588235294117,36.35,4.325
5,271.3,1.875,0.9835863181257002,8.67,289.1401042616872,2.333333333333333,264.4,4.1
10,609.6,1.6666666666666667,0.9597222519571532,8.07,683.6060488779362,1.8461538461538465,13.7,4.1
